"","Effect","Space_heating","Space_cooling","DHW","Other","Total_Energy"
"1","1990",5449.58857557047,555.625593401285,1694.06352357428,2492.96038776651,10192.2380803125
"2","Population",1094.17601844508,138.22730496071,381.984516853589,641.469390169024,2255.8572304284
"3","Region",-215.924117796917,34.2777745641622,-27.5238585784821,11.7711122385324,-197.399089572704
"4","Type",-99.0602487267279,0.711147163820036,7.72689848679665,-10.6199657080374,-101.242168784149
"5","Cohort",-555.188143811189,35.8435194081247,1.46246139961385,8.13933240872371,-509.742830594727
"6","Fuel",-387.584824852385,0,-54.6423058382891,0,-442.227130690674
"7","Occupancy",371.403889474593,51.5295537404971,0,185.897687127179,608.831130342269
"8","Conditioned Space",226.490053124235,114.307436497963,0,0,340.797489622198
"9","Intensity",-521.621813405717,-166.987170749705,205.458691371297,-70.1154206633682,-553.265713447494
"10","Weather",140.250380742062,116.150947847473,-17.2913530855698,0,239.109975503966
"11","2015",5502.52976876351,879.686106834331,2191.23857418323,3259.50252692556,11832.9569767066
"12","Total_Change",52.9411931930332,324.060513433045,497.175050608955,766.542135572054,1640.71889280709
