"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",1605747415710.22,1694.06352357428,"1990",1605747415710.22,1694.06352357428,"1990",1605747415710.22,1694.06352357428
"2","Population",47275805375.4273,49.8759746710758,"Population",185198118497.044,195.384015014381,"Population",362070632088.71,381.984516853589
"3","Region",-376420283.073832,-0.397123398642893,"Region",-19478843413.9993,-20.5501798017693,"Region",-26088965477.2342,-27.5238585784821
"4","Type",-365766449.153424,-0.385883603856863,"Type",-4426890814.19833,-4.67036980897924,"Type",7324074395.06791,7.72689848679665
"5","Cohort",-379778639.832316,-0.400666465023093,"Cohort",-6090423052.97098,-6.42539632088438,"Cohort",1386219336.12687,1.46246139961385
"6","Fuel",12791263198.3676,13.4947826742778,"Fuel",22885353006.2754,24.1440474216206,"Fuel",-51793654823.0229,-54.6423058382891
"7","Intensity",-111883526789.082,-118.037120762481,"Intensity",-61451442359.0697,-64.8312716888185,"Intensity",194747574759.523,205.458691371297
"8","Weather",235525169458.695,248.479053778923,"Weather",46354365504.6091,48.9038556073626,"Weather",-16389908137.9809,-17.2913530855698
"9","1993",1788334161581.56,1886.69254046855,"2001",1768737653077.91,1866.01822399719,"2015",2077003387851.41,2191.23857418323
"10","Population",137922313121.617,145.508040343306,"Population",119867138321.021,126.459830928678,"NA",0,0
"11","Region",-19102423130.9255,-20.1530564031264,"Region",-2942275537.73595,-3.10410069231143,"NA",0,0
"12","Type",-4061124365.0449,-4.28448620512237,"Type",15866676502.8095,16.7393437104641,"NA",0,0
"13","Cohort",-5710644413.13866,-6.02472985586129,"Cohort",13815543370.9996,14.5753982564046,"NA",0,0
"14","Fuel",10094089807.9079,10.6492647473428,"Fuel",-30468963996.5987,-32.1447570164116,"NA",0,0
"15","Intensity",50432084430.012,53.2058490736627,"Intensity",-98734445336.1385,-104.164839829626,"NA",0,0
"16","Weather",-189170803954.086,-199.57519817156,"Weather",110069204707.817,116.123010966747,"NA",0,0
"17","2001",1768737653077.91,1866.01822399719,"2009",1896210531110.08,2000.50211032114,"NA",0,0
"18","Population",73475474699.0592,77.5166258075075,"Population",57005375270.6446,60.1406709105301,"NA",0,0
"19","Region",-474383706.502301,-0.500474810359927,"Region",-3667846525.49895,-3.86957808440139,"NA",0,0
"20","Type",25877921138.4498,27.3012068010645,"Type",-4115711293.54329,-4.34207541468817,"NA",0,0
"21","Cohort",8253803629.68519,8.70776282931787,"Cohort",-6338900981.9018,-6.6875405359064,"NA",0,0
"22","Fuel",-10392699909.1029,-10.9642984041036,"Fuel",-44210043832.6996,-46.6415962434981,"NA",0,0
"23","Intensity",281239011794.96,296.707157443682,"Intensity",354933462454.731,374.454802889741,"NA",0,0
"24","Weather",34376585164.6108,36.2672973486644,"Weather",-172813478350.407,-182.31821965968,"NA",0,0
"25","2005",2181093365889.07,2301.05350101297,"2015",2077003387851.41,2191.23857418323,"NA",0,0
"26","Population",46391663621.9621,48.94320512117,"NA",0,0,"NA",0,0
"27","Region",-2467891831.23365,-2.6036258819515,"NA",0,0,"NA",0,0
"28","Type",-10011244635.6402,-10.5618630906004,"NA",0,0,"NA",0,0
"29","Cohort",5561739741.31445,5.86763542708675,"NA",0,0,"NA",0,0
"30","Fuel",-20076264087.4957,-21.180458612308,"NA",0,0,"NA",0,0
"31","Intensity",-379973457131.098,-400.871997273309,"NA",0,0,"NA",0,0
"32","Weather",75692619543.2065,79.8557136180829,"NA",0,0,"NA",0,0
"33","2009",1896210531110.08,2000.50211032114,"NA",0,0,"NA",0,0
"34","Population",57005375270.6446,60.1406709105301,"NA",0,0,"NA",0,0
"35","Region",-3667846525.49895,-3.86957808440139,"NA",0,0,"NA",0,0
"36","Type",-4115711293.54329,-4.34207541468817,"NA",0,0,"NA",0,0
"37","Cohort",-6338900981.9018,-6.6875405359064,"NA",0,0,"NA",0,0
"38","Fuel",-44210043832.6996,-46.6415962434981,"NA",0,0,"NA",0,0
"39","Intensity",354933462454.731,374.454802889741,"NA",0,0,"NA",0,0
"40","Weather",-172813478350.407,-182.31821965968,"NA",0,0,"NA",0,0
"41","2015",2077003387851.41,2191.23857418323,"NA",0,0,"NA",0,0
